Clock frequency is approx. 2296.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	10948.4	9376.0	7777.9	6363.8	5483.4	4777.7	4218.9	3747.0	3286.3	3005.7	2819.2	2665.4	2552.1	2399.6	2333.4	2430.0	2723.4	2749.2	3659.1	4228.0	4831.8	4317.4	5868.1	7289.4	6895.2	6322.2	7014.7	8342.3	8150.7	8963.0	8901.1	1441.3	9457.8	9110.9	9537.6	9635.6	9511.1	9614.3	9698.9	9736.8	9723.1	9795.9	9450.9	9532.1	9576.9	9365.1	8987.8	6175.4	9271.0	9378.1	9167.2	9238.5	9244.5	9054.8	8506.5	9336.5	9107.3	9376.0	8939.9	9384.9	9075.4	9386.7	9093.9	1491.1	
16m	11017.8	10777.6	9913.7	8748.0	8162.6	7675.2	7168.4	6621.3	5952.6	5335.7	4837.7	4843.2	4645.4	5250.7	5219.3	4228.4	7941.7	5100.1	9751.5	9587.4	8855.1	9812.2	9770.9	9937.1	9869.9	9808.2	9667.2	9756.8	9721.6	9765.7	9854.1	3045.4	9148.4	9403.0	9515.8	9988.3	9352.9	9956.4	9881.9	9792.6	9896.3	9827.3	9370.1	9098.1	9583.0	9526.8	8987.8	9221.5	9081.3	9019.5	9176.2	9004.8	9216.2	9042.9	8683.5	9340.8	9217.3	8954.4	8978.0	9361.3	9352.1	9399.8	8756.9	3301.9	
8m	11310.3	11306.1	11301.8	11297.5	11292.6	11287.2	11278.0	11264.7	11243.5	10973.0	10094.5	9231.3	8622.7	8353.4	8133.9	9792.6	10195.0	10462.2	10693.1	10870.5	10952.8	11069.0	11067.3	11056.5	11062.9	11087.8	11002.9	11024.5	11068.6	10986.0	10954.9	11127.0	10967.0	10918.1	10900.9	10942.0	10646.3	10646.6	10521.0	10563.3	10491.0	10428.6	10910.8	10876.1	10979.5	10882.1	10831.8	10897.6	10927.8	10918.7	10781.9	10918.6	10874.8	10814.9	10776.1	10884.0	10716.5	10856.4	10893.5	10769.8	10725.7	10849.4	10634.4	6879.8	
4m	11310.9	11307.9	11303.6	11298.7	11297.2	11290.8	11282.3	11280.5	11276.2	11010.5	10099.9	9072.9	11149.2	11307.9	11292.6	11304.8	11309.1	11314.6	11307.5	11304.8	11303.6	11315.8	11300.9	11307.2	11301.8	11301.8	11295.3	11295.0	11298.1	11310.9	11303.3	11280.5	11309.1	11288.3	11307.9	11303.6	11294.4	11290.2	11301.8	11232.0	11310.0	11265.3	11154.5	11235.7	11238.0	11251.9	11192.4	9211.8	11244.1	11271.4	11140.3	11262.2	11222.3	11221.8	11229.0	11227.2	11181.3	11192.9	11247.3	11238.1	11253.2	11181.7	11114.5	5910.3	
2m	11310.3	11306.1	11299.9	11297.5	11292.6	11289.0	11278.0	11270.8	11238.0	11232.0	11302.4	11307.2	11309.7	11303.6	11292.6	11300.0	11309.0	11303.6	11301.7	11317.0	11303.6	11302.4	11307.8	11299.9	11286.5	11293.8	11287.1	11295.0	11298.0	11310.9	11293.8	11261.1	11268.9	11277.9	11307.8	11292.6	11316.9	11313.3	11207.4	11280.3	11297.5	11278.0	11270.5	11275.5	11238.0	11238.0	11248.9	11155.3	11303.6	11256.2	11308.9	11309.5	11254.1	11238.0	11295.7	11295.0	11267.1	11280.2	11300.9	11256.0	11290.0	11293.8	11265.3	5416.1	
1024k	11309.7	11309.7	11296.3	11290.2	11292.6	11278.0	11269.5	11270.8	11259.8	10996.0	10277.1	9310.1	8752.7	8998.0	8378.0	10673.2	10937.3	11098.6	11175.7	11256.0	11252.5	11248.8	11293.8	11299.8	11317.0	11309.5	11141.2	11329.3	11280.2	11329.1	11256.2	11014.6	11329.3	11319.3	11329.2	11314.6	11316.7	11290.2	11325.4	11329.1	11347.7	11329.3	11323.0	11329.2	11347.4	11321.9	11363.7	11241.5	11363.5	11316.8	11340.2	11309.2	11351.2	11336.6	11329.3	11329.0	11336.6	11350.9	11300.9	11329.1	11364.5	11331.4	11303.6	6439.6	
512k	11304.8	11295.1	11285.3	11270.8	11256.1	11256.2	11244.1	11241.7	11205.6	11183.9	11091.5	10638.3	10457.6	10242.9	10084.9	10191.1	11075.0	11227.2	11290.2	11280.3	11329.3	11329.2	11321.9	11358.6	11378.3	11373.1	11336.6	11329.0	11350.9	11329.1	11331.4	10761.0	11328.9	11403.2	11328.8	11358.4	11316.3	11383.5	11373.4	11378.4	11397.9	11329.3	11375.4	11328.7	11291.8	11378.0	11363.7	11358.1	11362.9	11377.7	11403.2	11309.2	11351.2	11403.3	11328.7	11398.0	11336.6	11422.7	11373.3	11478.2	11439.6	11408.0	11381.0	6103.2	
256k	11319.5	11329.3	11329.3	11319.5	11329.1	11329.1	11329.3	11319.5	11358.8	11329.1	11329.2	11299.8	11309.2	11329.0	11329.1	11358.8	11403.2	11358.4	11383.5	11378.4	11433.2	11328.7	11378.0	11358.1	11377.7	11437.7	11403.3	11398.0	11279.9	11329.1	11255.9	11518.8	11328.2	11319.3	11502.3	11357.6	11406.8	11477.5	11372.5	11477.3	11397.0	11328.4	11482.7	11436.7	11402.5	11377.0	11599.4	11358.1	11361.9	11376.7	11403.2	11437.7	11483.1	11269.6	11605.0	11398.0	11478.3	11567.9	11672.6	11478.2	11289.0	11408.0	11539.1	8018.0	
128k	11319.5	11319.5	11329.1	11358.8	11329.1	11358.6	11329.0	11358.8	11358.4	11378.4	11328.7	11358.1	11437.7	11398.0	11329.1	11358.8	11488.3	11357.6	11477.5	11279.4	11328.4	11436.7	11377.0	11599.8	11376.7	11437.7	11269.6	11398.0	11278.7	11478.2	11408.0	11358.8	11326.8	11662.3	11680.5	11722.4	11787.0	11477.5	11566.9	11680.5	11817.3	11536.3	11703.5	11434.7	11628.6	11851.0	11597.3	11356.0	11606.7	11893.8	11662.3	11980.0	11756.6	12114.8	11328.7	11680.5	12079.8	11869.7	11670.0	11475.6	11913.4	11724.9	11536.3	8178.3	
64k	11319.5	11319.5	11358.6	11358.8	11378.4	11358.1	11398.0	11358.8	11537.9	11477.3	11436.7	11358.1	11437.7	11398.0	11478.2	11358.8	11662.3	11722.4	11873.3	11680.5	11536.3	11892.1	11851.0	11849.8	11893.8	11435.4	11537.9	11680.5	11869.7	12113.1	11724.9	12027.0	11657.0	12023.7	11680.5	11356.0	11787.0	11474.2	11980.0	11680.5	12271.8	11980.0	12678.8	12387.6	11181.3	11846.9	12651.6	12388.4	12134.3	11889.2	12828.6	12579.0	12339.4	12109.8	11890.1	11680.5	12745.4	12523.5	12312.8	12113.1	11913.4	11724.9	12978.3	8519.1	
